customer_id,join_date,acquisition_channel,cac,city
CUST-0001,2023-04-25,Social_Ads,858.74,Delhi
CUST-0002,2023-01-09,Paid_Search,404.07,DELHI
CUST-0003,2023-04-19,Affiliate,316.8,Bangalore
CUST-0004,2022-04-28,Social_Ads,902.98,mumbai 
CUST-0005,2022-02-03,Affiliate,265.32,bengaluru
CUST-0006,2022-09-13,Paid_Search,431.21, delhi
CUST-0007,2022-05-16,Affiliate,256.76,mumbai 
CUST-0008,2022-07-24,Affiliate,283.44,Delhi
CUST-0009,2023-01-22,Affiliate,245.65,Mumbai
CUST-0010,2022-03-23,Paid_Search,502.57,DELHI
CUST-0011,2022-07-15,Organic,0.0,BANGALORE
CUST-0012,2023-03-17,Social_Ads,941.58, delhi
CUST-0013,2023-03-30,Organic,0.0,DELHI
CUST-0014,2022-05-31,Social_Ads,779.12,Bombay
CUST-0015,2023-03-25,Organic,0.0, delhi
CUST-0016,2023-04-13,Paid_Search,379.15, delhi
CUST-0017,2022-09-17,Social_Ads,834.87,Delhi
CUST-0018,2022-10-04,Social_Ads,945.12,Mumbai
CUST-0019,2022-01-10,Social_Ads,675.8,bengaluru
CUST-0020,2022-01-30,Social_Ads,717.08,Mumbai
CUST-0021,2022-09-06,Organic,0.0, delhi
CUST-0022,2022-12-04,Paid_Search,445.55,MUMBAI
CUST-0023,2023-03-23,Social_Ads,834.11,Delhi
CUST-0024,2022-06-09,Paid_Search,431.82, delhi
CUST-0025,2023-04-06,Social_Ads,805.62,Bengaluru
CUST-0026,2022-02-02,Paid_Search,420.86,MUMBAI
CUST-0027,2022-02-06,Paid_Search,487.41,Mumbai
CUST-0028,2023-04-09,Paid_Search,365.65,mumbai 
CUST-0029,2022-05-02,Organic,0.0,DELHI
CUST-0030,2022-03-09,Paid_Search,490.2, delhi
CUST-0031,2023-02-06,Affiliate,296.76,Bombay
CUST-0032,2022-02-19,Paid_Search,478.62,mumbai 
CUST-0033,2022-08-28,Affiliate,343.66,Bengaluru
CUST-0034,2022-07-26,Organic,0.0,Mumbai
CUST-0035,2022-04-08,Paid_Search,456.53,MUMBAI
CUST-0036,2022-05-23,Affiliate,295.52,Mumbai
CUST-0037,2022-02-20,Affiliate,246.07, delhi
CUST-0038,2023-04-20,Organic,0.0,MUMBAI
CUST-0039,2022-09-06,Paid_Search,446.64,BANGALORE
CUST-0040,2022-07-14,Organic,0.0,Bombay
CUST-0041,2022-05-27,Social_Ads,775.36,BANGALORE
CUST-0042,2022-06-01,Paid_Search,399.19,Mumbai
CUST-0043,2022-06-10,Organic,0.0, delhi
CUST-0044,2023-04-16,Affiliate,342.33,Delhi
CUST-0045,2022-02-11,Organic,0.0,Delhi
CUST-0046,2023-03-18,Organic,0.0,Delhi
CUST-0047,2022-11-01,Paid_Search,367.15,Delhi
CUST-0048,2022-10-26,Affiliate,307.83,DELHI
CUST-0049,2022-12-09,Social_Ads,869.18,MUMBAI
CUST-0050,2022-03-09,Social_Ads,854.94,bengaluru
CUST-0051,2023-04-21,Affiliate,330.22,Bengaluru
CUST-0052,2022-11-15,Organic,0.0,Bengaluru
CUST-0053,2022-04-20,Organic,0.0,Delhi
CUST-0054,2023-03-27,Social_Ads,718.17,mumbai 
CUST-0055,2023-03-03,Paid_Search,457.78,bengaluru
CUST-0056,2023-02-23,Organic,0.0, delhi
CUST-0057,2022-05-16,Organic,0.0,Mumbai
CUST-0058,2022-05-25,Paid_Search,468.87,bengaluru
CUST-0059,2022-11-21,Paid_Search,513.52, delhi
CUST-0060,2023-04-09,Affiliate,348.98,Bengaluru
CUST-0061,2022-08-05,Organic,0.0,Delhi
CUST-0062,2023-01-30,Organic,0.0,bengaluru
CUST-0063,2022-08-15,Paid_Search,459.3,DELHI
CUST-0064,2022-02-08,Organic,0.0,MUMBAI
CUST-0065,2022-10-26,Organic,0.0,BANGALORE
CUST-0066,2022-06-07,Paid_Search,425.64,Mumbai
CUST-0067,2022-12-16,Social_Ads,719.85,Mumbai
CUST-0068,2023-03-29,Social_Ads,919.91, delhi
CUST-0069,2023-03-19,Paid_Search,389.25,MUMBAI
CUST-0070,2022-04-02,Affiliate,328.39,mumbai 
CUST-0071,2023-03-19,Affiliate,328.21,Delhi
CUST-0072,2023-02-08,Social_Ads,864.41,Bombay
CUST-0073,2022-04-24,Organic,0.0,BANGALORE
CUST-0074,2023-02-25,Social_Ads,894.51,Bangalore
CUST-0075,2022-12-04,Paid_Search,394.76,mumbai 
CUST-0076,2023-05-11,Social_Ads,887.46,mumbai 
CUST-0077,2023-03-08,Affiliate,304.35,Delhi
CUST-0078,2022-04-02,Organic,0.0,bengaluru
CUST-0079,2022-11-02,Organic,0.0,mumbai 
CUST-0080,2022-09-19,Affiliate,253.88, delhi
CUST-0081,2022-01-23,Paid_Search,487.58,Bengaluru
CUST-0082,2022-08-09,Paid_Search,372.6,bengaluru
CUST-0083,2023-03-11,Social_Ads,679.88,DELHI
CUST-0084,2022-07-29,Social_Ads,744.38, delhi
CUST-0085,2022-03-07,Social_Ads,701.39, delhi
CUST-0086,2023-01-19,Affiliate,348.34, delhi
CUST-0087,2022-10-08,Social_Ads,906.79,bengaluru
CUST-0088,2022-08-09,Social_Ads,891.44,mumbai 
CUST-0089,2022-08-15,Affiliate,321.08,BANGALORE
CUST-0090,2022-02-13,Paid_Search,411.08, delhi
CUST-0091,2023-02-24,Social_Ads,944.64,MUMBAI
CUST-0092,2023-02-17,Social_Ads,703.72,Mumbai
CUST-0093,2022-09-01,Organic,0.0,Mumbai
CUST-0094,2023-03-30,Affiliate,315.57,Bangalore
CUST-0095,2022-07-24,Affiliate,269.28,Bengaluru
CUST-0096,2022-04-23,Organic,0.0,BANGALORE
CUST-0097,2022-05-08,Organic,0.0,Delhi
CUST-0098,2023-02-15,Affiliate,295.76,mumbai 
CUST-0099,2023-02-22,Affiliate,326.31, delhi
CUST-0100,2022-08-17,Affiliate,347.66, delhi
CUST-0101,2022-05-13,Affiliate,330.21,bengaluru
CUST-0102,2022-05-03,Affiliate,272.95,Delhi
CUST-0103,2022-05-20,Social_Ads,747.47,Mumbai
CUST-0104,2022-04-29,Paid_Search,428.95,MUMBAI
CUST-0105,2022-08-01,Paid_Search,433.37,Bombay
