order_id,customer_id,product_id,order_date,gross_sales,cogs,discount_amount,refund_amount,ingestion_batch,loaded_at
ORD-000001,CUST-0001,PRD-002,2023-05-25 00:00:00,3736.56,1905.65,0.0,0.0,Batch_01,2023-05-25 02:00:00
ORD-000002,CUST-0001,PRD-017,2023-07-01 00:00:00,3804.52,,0.0,,Batch_01,2023-07-01 02:00:00
ORD-000003,CUST-0001,PRD-012,2023-08-20 00:00:00,9254.03,4441.93,,0.0,Batch_01,2023-08-20 02:00:00
ORD-000004,CUST-0001,PRD-011,2023-10-01 00:00:00,1844.81,1402.06,0.0,0.0,Batch_01,2023-10-01 02:00:00
ORD-000005,CUST-0001,PRD-007,2023-11-01 00:00:00,6583.04,4081.48,0.0,0.0,Batch_01,2023-11-01 02:00:00
ORD-000006,CUST-0001,PRD-007,2023-12-06 00:00:00,6583.04,4081.48,1183.54,0.0,Batch_01,2023-12-06 02:00:00
ORD-000007,CUST-0001,PRD-016,2024-01-24 00:00:00,3288.18,2531.9,0.0,0.0,Batch_01,2024-01-24 02:00:00
ORD-000008,CUST-0001,PRD-005,2024-03-14 00:00:00,3873.58,2169.2,831.82,0.0,Batch_01,2024-03-14 02:00:00
ORD-000009,CUST-0001,PRD-009,2024-04-30 00:00:00,10623.02,7011.19,0.0,0.0,Batch_01,2024-04-30 02:00:00
ORD-000010,CUST-0001,PRD-018,2024-06-11 00:00:00,12902.11,5805.95,1914.82,0.0,Batch_01,2024-06-11 02:00:00
ORD-000011,CUST-0002,PRD-001,2023-02-23 00:00:00,2114.3,1057.15,0.0,0.0,Batch_01,2023-02-23 02:00:00
ORD-000012,CUST-0002,PRD-002,2023-04-10 00:00:00,3736.56,1905.65,0.0,,Batch_01,2023-04-10 02:00:00
ORD-000013,CUST-0002,PRD-013,2023-07-21 00:00:00,7161.66,5371.24,0.0,0.0,Batch_01,2023-07-21 02:00:00
ORD-000014,CUST-0002,PRD-018,2023-10-22 00:00:00,12902.11,5805.95,0.0,0.0,Batch_01,2023-10-22 02:00:00
ORD-000015,CUST-0002,PRD-003,2024-01-30 00:00:00,11239.68,6519.01,1833.01,0.0,Batch_01,2024-01-30 02:00:00
ORD-000016,CUST-0003,PRD-003,2023-05-07 00:00:00,11239.68,6519.01,0.0,0.0,Batch_01,2023-05-07 02:00:00
ORD-000017,CUST-0003,PRD-003,2023-05-26 00:00:00,11239.68,6519.01,0.0,0.0,Batch_01,2023-05-26 02:00:00
ORD-000018,CUST-0003,PRD-016,2023-06-17 00:00:00,3288.18,2531.9,0.0,,Batch_01,2023-06-17 02:00:00
ORD-000019,CUST-0003,PRD-009,2023-07-08 00:00:00,10623.02,7011.19,0.0,0.0,Batch_01,2023-07-08 02:00:00
ORD-000020,CUST-0003,PRD-017,2023-07-26 00:00:00,3804.52,2587.07,0.0,0.0,Batch_01,2023-07-26 02:00:00
ORD-000021,CUST-0003,PRD-001,2023-08-11 00:00:00,2114.3,1057.15,0.0,2114.3,Batch_01,2023-08-11 02:00:00
ORD-000022,CUST-0003,PRD-007,2023-09-02 00:00:00,6583.04,4081.48,0.0,6583.04,Batch_01,2023-09-02 02:00:00
ORD-000023,CUST-0003,PRD-002,2023-09-24 00:00:00,3736.56,1905.65,0.0,3736.56,Batch_01,2023-09-24 02:00:00
ORD-000024,CUST-0003,PRD-007,2023-10-17 00:00:00,6583.04,4081.48,0.0,6583.04,Batch_01,2023-10-17 02:00:00
ORD-000025,CUST-0003,PRD-015,2023-11-07 00:00:00,9468.54,4355.53,0.0,0.0,Batch_01,2023-11-07 02:00:00
ORD-000026,CUST-0003,PRD-016,2023-11-29 00:00:00,3288.18,2531.9,607.62,0.0,Batch_01,2023-11-29 02:00:00
ORD-000027,CUST-0003,PRD-012,2023-12-27 00:00:00,9254.03,4441.93,0.0,0.0,Batch_01,2023-12-27 02:00:00
ORD-000028,CUST-0003,PRD-018,2024-01-23 00:00:00,12902.11,5805.95,0.0,0.0,Batch_01,2024-01-23 02:00:00
ORD-000029,CUST-0003,PRD-005,2024-02-14 00:00:00,3873.58,2169.2,0.0,0.0,Batch_01,2024-02-14 02:00:00
ORD-000030,CUST-0003,PRD-002,2024-03-13 00:00:00,3736.56,1905.65,,0.0,Batch_01,2024-03-13 02:00:00
ORD-000031,CUST-0003,PRD-008,2024-04-09 00:00:00,12236.74,9789.39,0.0,0.0,Batch_01,2024-04-09 02:00:00
