product_id,category,base_price,cogs_pct
PRD-001,Home_Goods,2114.3,0.5
PRD-002,Electronics,3736.56,0.51
PRD-003,Home_Goods,11239.68,0.58
PRD-004,Home_Goods,6617.87,0.79
PRD-005,Electronics,3873.58,0.56
PRD-006,Home_Goods,3383.15,0.54
PRD-007,Home_Goods,6583.04,0.62
PRD-008,Apparel,12236.74,0.8
PRD-009,Electronics,10623.02,0.66
PRD-010,Electronics,3622.05,0.49
PRD-011,Electronics,1844.81,0.76
PRD-012,Apparel,9254.03,0.48
PRD-013,Home_Goods,7161.66,0.75
PRD-014,Apparel,1642.6,0.68
PRD-015,Home_Goods,9468.54,0.46
PRD-016,Home_Goods,3288.18,0.77
PRD-017,Home_Goods,3804.52,0.68
PRD-018,Electronics,12902.11,0.45
PRD-019,Apparel,4530.62,0.55
PRD-020,Apparel,2858.48,0.66
