ticket_id,customer_id,order_id,ticket_date,resolution_cost
TKT-00001,CUST-0003,ORD-000016,2023-05-09 00:00:00,150.0
TKT-00002,CUST-0003,ORD-000019,2023-07-10 00:00:00,150.0
TKT-00003,CUST-0003,ORD-000030,2024-03-16 00:00:00,150.0
TKT-00004,CUST-0005,ORD-000073,2022-04-16 00:00:00,150.0
TKT-00005,CUST-0005,ORD-000080,2022-07-09 00:00:00,150.0
TKT-00006,CUST-0005,ORD-000086,2022-10-06 00:00:00,150.0
TKT-00007,CUST-0005,ORD-000099,2023-03-20 00:00:00,150.0
TKT-00008,CUST-0005,ORD-000103,2023-05-08 00:00:00,150.0
TKT-00009,CUST-0006,ORD-000140,2022-11-07 00:00:00,400.0
TKT-00010,CUST-0006,ORD-000202,2024-02-11 00:00:00,400.0
TKT-00011,CUST-0007,ORD-000229,2022-10-15 00:00:00,150.0
TKT-00012,CUST-0007,ORD-000238,2023-05-05 00:00:00,150.0
TKT-00013,CUST-0007,ORD-000248,2023-12-12 00:00:00,400.0
TKT-00014,CUST-0009,ORD-000281,2023-03-11 00:00:00,150.0
TKT-00015,CUST-0009,ORD-000282,2023-03-30 00:00:00,150.0
TKT-00016,CUST-0009,ORD-000284,2023-05-07 00:00:00,400.0
TKT-00017,CUST-0009,ORD-000286,2023-06-24 00:00:00,150.0
TKT-00018,CUST-0009,ORD-000295,2023-12-21 00:00:00,150.0
TKT-00019,CUST-0009,ORD-000296,2024-01-07 00:00:00,150.0
TKT-00020,CUST-0009,ORD-000298,2024-02-19 00:00:00,400.0
TKT-00021,CUST-0009,ORD-000299,2024-03-18 00:00:00,400.0
TKT-00022,CUST-0009,ORD-000300,2024-04-05 00:00:00,150.0
TKT-00023,CUST-0010,ORD-000316,2023-06-06 00:00:00,150.0
TKT-00024,CUST-0010,ORD-000319,2024-03-01 00:00:00,150.0
TKT-00025,CUST-0016,ORD-000394,2023-09-17 00:00:00,150.0
TKT-00026,CUST-0017,ORD-000399,2022-10-22 00:00:00,400.0
TKT-00027,CUST-0017,ORD-000400,2022-11-04 00:00:00,150.0
TKT-00028,CUST-0017,ORD-000403,2022-12-28 00:00:00,150.0
TKT-00029,CUST-0017,ORD-000408,2023-03-12 00:00:00,150.0
TKT-00030,CUST-0017,ORD-000409,2023-03-29 00:00:00,150.0
TKT-00031,CUST-0017,ORD-000410,2023-04-13 00:00:00,150.0
TKT-00032,CUST-0017,ORD-000411,2023-04-29 00:00:00,150.0
TKT-00033,CUST-0017,ORD-000434,2024-05-01 00:00:00,400.0
TKT-00034,CUST-0017,ORD-000435,2024-05-24 00:00:00,150.0
TKT-00035,CUST-0018,ORD-000441,2023-03-30 00:00:00,150.0
TKT-00036,CUST-0018,ORD-000446,2023-12-11 00:00:00,400.0
TKT-00037,CUST-0019,ORD-000456,2022-08-21 00:00:00,150.0
TKT-00038,CUST-0019,ORD-000458,2022-11-13 00:00:00,150.0
TKT-00039,CUST-0019,ORD-000461,2023-04-10 00:00:00,400.0
TKT-00040,CUST-0019,ORD-000462,2023-06-08 00:00:00,400.0
TKT-00041,CUST-0019,ORD-000465,2023-10-04 00:00:00,400.0
TKT-00042,CUST-0019,ORD-000469,2024-03-22 00:00:00,150.0
TKT-00043,CUST-0019,ORD-000471,2024-05-31 00:00:00,150.0
TKT-00044,CUST-0020,ORD-000476,2022-08-27 00:00:00,150.0
TKT-00045,CUST-0020,ORD-000480,2023-02-10 00:00:00,150.0
TKT-00046,CUST-0020,ORD-000484,2023-07-21 00:00:00,150.0
TKT-00047,CUST-0020,ORD-000485,2023-08-29 00:00:00,150.0
TKT-00048,CUST-0021,ORD-000495,2023-01-01 00:00:00,150.0
TKT-00049,CUST-0021,ORD-000496,2023-01-29 00:00:00,400.0
TKT-00050,CUST-0021,ORD-000498,2023-04-03 00:00:00,150.0
TKT-00051,CUST-0021,ORD-000511,2024-04-01 00:00:00,400.0
TKT-00052,CUST-0021,ORD-000512,2024-04-19 00:00:00,150.0
TKT-00053,CUST-0024,ORD-000558,2023-03-15 00:00:00,150.0
TKT-00054,CUST-0024,ORD-000560,2023-05-05 00:00:00,150.0
TKT-00055,CUST-0024,ORD-000567,2023-10-14 00:00:00,150.0
TKT-00056,CUST-0024,ORD-000569,2023-11-29 00:00:00,150.0
TKT-00057,CUST-0025,ORD-000580,2023-07-14 00:00:00,150.0
TKT-00058,CUST-0025,ORD-000581,2023-09-09 00:00:00,150.0
TKT-00059,CUST-0025,ORD-000584,2024-06-29 00:00:00,150.0
TKT-00060,CUST-0026,ORD-000589,2022-11-17 00:00:00,150.0
TKT-00061,CUST-0026,ORD-000591,2023-04-27 00:00:00,150.0
TKT-00062,CUST-0026,ORD-000592,2023-09-14 00:00:00,150.0
TKT-00063,CUST-0027,ORD-000595,2022-04-30 00:00:00,150.0
TKT-00064,CUST-0029,ORD-000664,2022-06-23 00:00:00,400.0
TKT-00065,CUST-0029,ORD-000676,2023-03-26 00:00:00,150.0
TKT-00066,CUST-0029,ORD-000692,2024-04-20 00:00:00,150.0
TKT-00067,CUST-0031,ORD-000701,2023-02-23 00:00:00,150.0
TKT-00068,CUST-0031,ORD-000712,2023-05-02 00:00:00,150.0
TKT-00069,CUST-0031,ORD-000715,2023-05-24 00:00:00,
TKT-00070,CUST-0031,ORD-000725,2023-08-03 00:00:00,150.0
TKT-00071,CUST-0031,ORD-000730,2023-09-07 00:00:00,400.0
TKT-00072,CUST-0031,ORD-000759,2024-03-13 00:00:00,150.0
